Date;Market;Size;Value;Momentum;Investment;Profitability;Low volatility
01.06.1997;4,01%;0,34%;2,55%;3,43%;1,00%;-1,07%;2,77%
01.07.1997;7,64%;-1,48%;-0,28%;3,44%;-0,94%;1,81%;1,44%
01.08.1997;-3,21%;4,10%;0,75%;0,09%;-0,12%;1,18%;-2,94%
01.09.1997;5,35%;2,18%;0,37%;0,18%;-1,10%;-1,87%;-1,61%
01.10.1997;-4,03%;0,34%;2,94%;0,00%;1,49%;-2,26%;2,20%
01.11.1997;2,55%;-2,82%;2,11%;1,28%;2,36%;-0,34%;5,66%
01.12.1997;1,48%;-1,63%;2,89%;2,93%;1,50%;-3,72%;7,78%
01.01.1998;-0,83%;-0,19%;-0,74%;-1,05%;0,29%;1,45%;-0,10%
01.02.1998;7,20%;-0,43%;-1,30%;-0,80%;-0,19%;2,15%;-0,73%
01.03.1998;4,64%;-0,35%;0,64%;1,12%;0,12%;-0,11%;1,16%
01.04.1998;0,84%;0,55%;0,68%;0,25%;0,94%;0,47%;-0,76%
01.05.1998;-3,47%;-1,18%;3,07%;1,19%;2,26%;-1,31%;4,90%
01.06.1998;2,09%;-2,91%;-0,68%;4,27%;0,31%;1,47%;3,11%
01.07.1998;-3,52%;-2,31%;0,61%;3,01%;1,40%;-1,57%;4,24%
01.08.1998;-15,92%;-2,33%;3,31%;0,53%;3,82%;-2,31%;8,59%
01.09.1998;6,37%;-1,07%;-4,78%;2,01%;-1,37%;-0,76%;-5,95%
01.10.1998;6,80%;-1,83%;-3,16%;-3,89%;-0,45%;1,90%;-0,80%
01.11.1998;5,45%;0,75%;-1,52%;0,65%;2,88%;3,82%;-3,22%
01.12.1998;5,49%;-1,79%;-4,15%;5,80%;-1,00%;3,64%;2,53%
01.01.1999;1,98%;0,12%;-1,78%;0,22%;-0,08%;1,61%;-6,92%
01.02.1999;-3,57%;-1,72%;0,39%;0,52%;3,19%;-2,30%;3,29%
01.03.1999;2,65%;-2,93%;-2,70%;1,41%;-0,38%;-0,61%;-1,38%
01.04.1999;5,62%;1,58%;2,49%;-2,81%;0,03%;-0,77%;-2,48%
01.05.1999;-1,51%;2,69%;1,50%;-2,80%;0,30%;2,14%;1,41%
01.06.1999;4,58%;-0,21%;-0,24%;3,03%;1,62%;1,44%;-0,11%
01.07.1999;-3,27%;1,65%;1,21%;0,75%;2,68%;-1,09%;1,77%
01.08.1999;-2,28%;-0,74%;0,19%;2,68%;2,14%;-0,40%;-0,38%
01.09.1999;-2,86%;0,36%;-3,66%;4,62%;0,03%;1,73%;-1,98%
01.10.1999;5,40%;-3,60%;-4,11%;5,52%;1,42%;-0,02%;0,02%
01.11.1999;2,82%;2,48%;-4,59%;9,22%;1,61%;5,17%;-10,48%
01.12.1999;6,01%;0,46%;-4,80%;11,26%;1,16%;4,37%;-16,26%
01.01.2000;-3,50%;2,77%;0,15%;2,93%;3,29%;-3,31%;-9,02%
